agree,agree_ratio,agreeance_text,allsides_page,bias,disagree,name,total_votes
557,0.8926282051282052,Somewhat Disagrees,https://www.allsides.com/news-source/center-public-integrity,left-center,624,Center for Public Integrity,1181
446,0.8796844181459567,Somewhat Disagrees,https://www.allsides.com/news-source/centre-view,left-center,507,Centre View,953
602,1.0100671140939597,Somewhat Agrees,https://www.allsides.com/news-source/chicago-sun-times,left-center,596,Chicago Sun-Times,1198
1660,0.5669398907103825,Disagrees,https://www.allsides.com/news-source/chicago-tribune,center,2928,Chicago Tribune,4588
8136,0.7366896052155016,Somewhat Disagrees,https://www.allsides.com/news-source/christian-science-monitor,center,11044,Christian Science Monitor,19180
184,1.1151515151515152,Somewhat Agrees,https://www.allsides.com/news-source/city-journal-media-bias,right,165,City Journal,349
1455,0.3886217948717949,Strongly Disagrees,https://www.allsides.com/news-source/cnbc,center,3744,CNBC,5199
110,0.9821428571428571,Somewhat Disagrees,https://www.allsides.com/news-source/cnet,center,112,CNET,222
25738,0.9724930098994937,Somewhat Disagrees,https://www.allsides.com/news-source/cnn-media-bias,left-center,26466,CNN (Web News),52204
6012,3.192777482740308,Absolutely Agrees,https://www.allsides.com/news-source/cnn-editorial,left,1883,CNN - Editorial,7895
783,1.2120743034055728,Somewhat Agrees,https://www.allsides.com/news-source/cns-news,right,646,CNS News,1429
722,1.1816693944353518,Somewhat Agrees,https://www.allsides.com/news-source/cnsnewscom,right,611,CNSNews.com,1333
64,0.42105263157894735,Strongly Disagrees,https://www.allsides.com/news-source/columbia-journalism-review,center,152,Columbia Journalism Review,216
110,1.0377358490566038,Somewhat Agrees,https://www.allsides.com/news-source/commentary-magazine-media-bias,right,106,Commentary Magazine,216
707,2.3029315960912053,Strongly Agrees,https://www.allsides.com/news-source/conservative-hq,right,307,Conservative HQ,1014
791,1.6758474576271187,Agrees,https://www.allsides.com/news-source/cook-report,center,472,Cook Report,1263
11,0.9166666666666666,Somewhat Disagrees,https://www.allsides.com/news-source/countable-media-bias,center,12,Countable,23
283,1.4816753926701571,Somewhat Agrees,https://www.allsides.com/news-source/counter-currents,left-center,191,Counter Currents,474
318,1.119718309859155,Somewhat Agrees,https://www.allsides.com/news-source/counterpointing,allsides,284,Counterpointing,602
330,0.9649122807017544,Somewhat Disagrees,https://www.allsides.com/news-source/crowdpac,center,342,CrowdPAC,672
273,0.8348623853211009,Somewhat Disagrees,https://www.allsides.com/news-source/cu-independent,center,327,CU Independent,600
177,2.8095238095238093,Strongly Agrees,https://www.allsides.com/news-source/current-affairs-media-bias,left,63,Current Affairs,240
5951,1.5130943300279684,Agrees,https://www.allsides.com/news-source/daily-beast-media-bias,left,3933,Daily Beast,9884
328,0.9371428571428572,Somewhat Disagrees,https://www.allsides.com/news-source/daily-cardinal,center,350,Daily Cardinal,678
4884,2.64,Strongly Agrees,https://www.allsides.com/news-source/daily-kos,left,1850,Daily Kos,6734
1561,1.2398729150119143,Somewhat Agrees,https://www.allsides.com/news-source/daily-mail,right,1259,Daily Mail,2820
297,1.0241379310344827,Somewhat Agrees,https://www.allsides.com/news-source/daily-northwestern,left-center,290,Daily Northwestern,587
270,0.7458563535911602,Somewhat Disagrees,https://www.allsides.com/news-source/daily-press,right-center,362,Daily Press,632
336,1.0212765957446808,Somewhat Agrees,https://www.allsides.com/news-source/daily-progress,center,329,Daily Progress,665
182,0.5617283950617284,Disagrees,https://www.allsides.com/news-source/daily-targum,left-center,324,Daily Targum,506
136,1.1056910569105691,Somewhat Agrees,https://www.allsides.com/news-source/defense-one-media-bias,center,123,Defense One,259
4219,2.511309523809524,Strongly Agrees,https://www.allsides.com/news-source/democracy-now,left,1680,Democracy Now,5899
1014,0.6236162361623616,Disagrees,https://www.allsides.com/news-source/deseret-news,right-center,1626,Deseret News,2640
272,1.3203883495145632,Somewhat Agrees,https://www.allsides.com/news-source/diplomatic-courier,center,206,Diplomatic Courier,478
1806,1.6024844720496894,Agrees,https://www.allsides.com/news-source/drudge-report,right-center,1127,Drudge Report,2933
320,1.035598705501618,Somewhat Agrees,https://www.allsides.com/news-source/duke-chronicle,center,309,Duke Chronicle,629
782,1.7894736842105263,Agrees,https://www.allsides.com/news-source/esquire,left,437,Esquire,1219
176,0.7154471544715447,Somewhat Disagrees,https://www.allsides.com/news-source/estes-park-trail-gazette,center,246,Estes Park Trail Gazette,422
270,0.8970099667774086,Somewhat Disagrees,https://www.allsides.com/news-source/eurek-alert,center,301,Eurek Alert,571
640,1.2213740458015268,Somewhat Agrees,https://www.allsides.com/news-source/fact-checker-blog,center,524,Fact Checker Blog,1164
5238,1.4031609965175462,Somewhat Agrees,https://www.allsides.com/news-source/factcheckorg-media-bias,center,3733,FactCheck.org,8971
401,1.0025,Somewhat Agrees,https://www.allsides.com/news-source/fairorg,center,400,Fair.org,801
321,0.8209718670076727,Somewhat Disagrees,https://www.allsides.com/news-source/falls-church-news-press,left,391,Falls Church News - Press,712
294,1.6065573770491803,Agrees,https://www.allsides.com/news-source/financial-times-media-bias,center,183,Financial Times,477
636,1.2644135188866799,Somewhat Agrees,https://www.allsides.com/news-source/fiscal-times,right-center,503,Fiscal Times,1139
3175,1.7208672086720866,Agrees,https://www.allsides.com/news-source/fivethirtyeight-0,center,1845,FiveThirtyEight,5020
2842,1.4902988987939172,Somewhat Agrees,https://www.allsides.com/news-source/forbes,center,1907,Forbes,4749
733,1.8325,Agrees,https://www.allsides.com/news-source/foreign-affairs,center,400,Foreign Affairs,1133
20213,0.6772885672161909,Somewhat Disagrees,https://www.allsides.com/news-source/fox-news-media-bias,right-center,29844,Fox News,50057
3912,3.546690843155032,Absolutely Agrees,https://www.allsides.com/news-source/fox-news-editorial-media-bias,right,1103,Fox News Editorial,5015
1550,1.9206939281288724,Agrees,https://www.allsides.com/news-source/fox-news-latino,right,807,Fox News Latino,2357
424,1.2887537993920972,Somewhat Agrees,https://www.allsides.com/news-source/frontpage-magazine,right,329,FrontPage Magazine,753
390,0.8924485125858124,Somewhat Disagrees,https://www.allsides.com/news-source/grist,left-center,437,Grist,827
305,0.9442724458204335,Somewhat Disagrees,https://www.allsides.com/news-source/hampton-roads-messanger,center,323,Hampton Roads Messanger,628
573,0.8426470588235294,Somewhat Disagrees,https://www.allsides.com/news-source/harvard-business-school,left-center,680,Harvard Business School,1253
389,1.332191780821918,Somewhat Agrees,https://www.allsides.com/news-source/herald-democrat-0,left,292,Herald Democrat,681
258,0.7435158501440923,Somewhat Disagrees,https://www.allsides.com/news-source/honolulu-civil-beat,center,347,Honolulu Civil Beat,605
902,1.117719950433705,Somewhat Agrees,https://www.allsides.com/news-source/hotair,right-center,807,HotAir,1709
535,1.0132575757575757,Somewhat Agrees,https://www.allsides.com/news-source/how-do-we-fix-it,center,528,How Do We Fix It?,1063
5,0.625,Disagrees,https://www.allsides.com/news-source/howard-kurtz-media-bias,center,8,Howard Kurtz,13
17976,0.934789391575663,Somewhat Disagrees,https://www.allsides.com/news-source/huffpost-media-bias,left,19230,HuffPost,37206
318,1.5288461538461537,Agrees,https://www.allsides.com/news-source/inacow,right,208,Inacow,526
1111,1.1076769690927217,Somewhat Agrees,https://www.allsides.com/news-source/independent-journal-review,right-center,1003,Independent Journal Review,2114
223,0.7483221476510067,Somewhat Disagrees,https://www.allsides.com/news-source/indiana-daily-student,center,298,Indiana Daily Student,521
214,0.8916666666666667,Somewhat Disagrees,https://www.allsides.com/news-source/indy-online,center,240,Indy Online,454
244,0.8327645051194539,Somewhat Disagrees,https://www.allsides.com/news-source/indy-week,left-center,293,Indy Week,537
3939,4.48122866894198,Absolutely Agrees,https://www.allsides.com/news-source/infowars,right,879,InfoWars,4818
230,0.8778625954198473,Somewhat Disagrees,https://www.allsides.com/news-source/inside-philanthropy,center,262,Inside Philanthropy,492
306,0.9714285714285714,Somewhat Disagrees,https://www.allsides.com/news-source/intellectual-conservative,right-center,315,Intellectual Conservative,621
909,1.3348017621145374,Somewhat Agrees,https://www.allsides.com/news-source/international-business-times,center,681,International Business Times,1590
989,1.2550761421319796,Somewhat Agrees,https://www.allsides.com/news-source/investors-business-daily,right-center,788,Investor's Business Daily,1777
343,1.026946107784431,Somewhat Agrees,https://www.allsides.com/news-source/ivn,center,334,IVN,677
360,7.659574468085107,Absolutely Agrees,https://www.allsides.com/news-source/jacobin-media-bias,left,47,Jacobin,407
1,0.5,Strongly Disagrees,https://www.allsides.com/news-source/jezebel-media-bias,left,2,Jezebel,3
188,0.7966101694915254,Somewhat Disagrees,https://www.allsides.com/news-source/journalists-resource,center,236,Journalist's Resource,424
87,1.380952380952381,Somewhat Agrees,https://www.allsides.com/news-source/jubilee-media-bias,center,63,Jubilee Media,150
925,0.8885686839577329,Somewhat Disagrees,https://www.allsides.com/news-source/judicial-watch,right-center,1041,Judicial Watch,1966
381,1.2211538461538463,Somewhat Agrees,https://www.allsides.com/news-source/kqed,center,312,KQED,693
770,1.3701067615658362,Somewhat Agrees,https://www.allsides.com/news-source/ksl,right,562,KSL,1332
211,0.9768518518518519,Somewhat Disagrees,https://www.allsides.com/news-source/las-vegas-sun,left-center,216,Las Vegas Sun,427
137,1.0703125,Somewhat Agrees,https://www.allsides.com/news-source/leesburg-today,right-center,128,Leesburg Today,265
490,1.3461538461538463,Somewhat Agrees,https://www.allsides.com/news-source/left-major-publications,left,364,Left - Major Media Sources,854
227,1.135,Somewhat Agrees,https://www.allsides.com/news-source/lifehacker,center,200,Lifehacker,427
67,1.3673469387755102,Somewhat Agrees,https://www.allsides.com/news-source/listen-first-project-media-bias,allsides,49,Listen First Project,116
193,1.496124031007752,Somewhat Agrees,https://www.allsides.com/news-source/live-action-news,right-center,129,Live Action News,322
986,0.7812995245641838,Somewhat Disagrees,https://www.allsides.com/news-source/living-room-conversations,allsides,1262,Living Room Conversations,2248
112,0.9180327868852459,Somewhat Disagrees,https://www.allsides.com/news-source/longmont-times-call,left-center,122,Longmont Times-Call,234
3800,1.3286713286713288,Somewhat Agrees,https://www.allsides.com/news-source/los-angeles-times-bias,left-center,2860,Los Angeles Times,6660
141,1.0444444444444445,Somewhat Agrees,https://www.allsides.com/news-source/louisville-courier-journal,left-center,135,Louisville Courier-Journal,276
309,3.09,Absolutely Agrees,https://www.allsides.com/news-source/mashable,left,100,Mashable,409
2244,1.5769501054111033,Agrees,https://www.allsides.com/news-source/media-matters-bias,left,1423,Media Matters,3667
1202,0.8204778156996587,Somewhat Disagrees,https://www.allsides.com/news-source/media-research-center,right,1465,Media Research Center,2667
578,0.9697986577181208,Somewhat Disagrees,https://www.allsides.com/news-source/mediaite-bias,left-center,596,Mediaite,1174
207,0.9409090909090909,Somewhat Disagrees,https://www.allsides.com/news-source/miami-herald,left-center,220,Miami Herald,427
459,2.1055045871559632,Strongly Agrees,https://www.allsides.com/news-source/michellemalkincom,right,218,MichelleMalkin.com,677
174,1.12987012987013,Somewhat Agrees,https://www.allsides.com/news-source/michigan-daily,left-center,154,Michigan Daily,328
30,0.625,Disagrees,https://www.allsides.com/news-source/mismatchorg-media-bias,allsides,48,Mismatch.org,78
170,1.2318840579710144,Somewhat Agrees,https://www.allsides.com/news-source/mit-news,center,138,MIT News,308
3928,4.654028436018957,Absolutely Agrees,https://www.allsides.com/news-source/mother-jones-bias,left,844,Mother Jones,4772
4407,2.6790273556231003,Strongly Agrees,https://www.allsides.com/news-source/msnbc,left,1645,MSNBC,6052
9,1.2857142857142858,Somewhat Agrees,https://www.allsides.com/news-source/mtv-news-online-media-bias,left-center,7,MTV News Online,16
875,1.404494382022472,Somewhat Agrees,https://www.allsides.com/news-source/national-journal,center,623,National Journal,1498
8123,2.0317658829414706,Strongly Agrees,https://www.allsides.com/news-source/national-review,right,3998,National Review,12121
975,0.8969641214351426,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-today-show,left-center,1087,NBC Today Show,2062
3674,0.7715245695086098,Somewhat Disagrees,https://www.allsides.com/news-source/nbc-news-media-bias,left-center,4762,NBCNews.com,8436
1177,1.841940532081377,Agrees,https://www.allsides.com/news-source/new-republic,left,639,New Republic,1816
947,2.326781326781327,Strongly Agrees,https://www.allsides.com/news-source/new-york-daily-news,left,407,New York Daily News,1354
1591,2.2282913165266107,Strongly Agrees,https://www.allsides.com/news-source/new-york-magazine,left,714,New York Magazine,2305
2774,1.3678500986193294,Somewhat Agrees,https://www.allsides.com/news-source/new-york-post,right,2028,New York Post,4802
14359,0.6043095829300114,Disagrees,https://www.allsides.com/news-source/new-york-times,left-center,23761,New York Times - News,38120
1679,3.0527272727272727,Absolutely Agrees,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,550,New York Times - Opinion,2229
6563,0.7603104726598703,Somewhat Disagrees,https://www.allsides.com/news-source/newsmax,right,8632,Newsmax,15195
1880,0.8106942647692971,Somewhat Disagrees,https://www.allsides.com/news-source/newsweek,left-center,2319,Newsweek,4199
124,0.6888888888888889,Somewhat Disagrees,https://www.allsides.com/news-source/nmpoliticsnet,center,180,NMPolitics.net,304
1342,0.922971114167813,Somewhat Disagrees,https://www.allsides.com/news-source/npr-editorial,left-center,1454,NPR Editorial,2796
18286,1.3801796361989584,Somewhat Agrees,https://www.allsides.com/news-source/npr-media-bias,center,13249,NPR News,31535
337,1.012012012012012,Somewhat Agrees,https://www.allsides.com/news-source/one-america-news-network-media-bias,right-center,333,One America News Network,670
186,1.3098591549295775,Somewhat Agrees,https://www.allsides.com/news-source/orange-county-register,right-center,142,Orange County Register,328
300,1.1235955056179776,Somewhat Agrees,https://www.allsides.com/news-source/pacific-standard,left-center,267,Pacific Standard,567
1912,1.392571012381646,Somewhat Agrees,https://www.allsides.com/news-source/pbs-newshour,center,1373,PBS NewsHour,3285
137,2.014705882352941,Strongly Agrees,https://www.allsides.com/news-source/peacock-panache,left,68,Peacock Panache,205
174,0.8787878787878788,Somewhat Disagrees,https://www.allsides.com/news-source/pittsburgh-post-gazette,right-center,198,Pittsburgh Post-Gazette,372
122,1.876923076923077,Agrees,https://www.allsides.com/news-source/pj-media,right,65,PJ Media,187
64,1.1636363636363636,Somewhat Agrees,https://www.allsides.com/news-source/pj-media-media-bias,right-center,55,PJ Media,119
12929,0.6299454297407913,Disagrees,https://www.allsides.com/news-source/politico-media-bias,left-center,20524,Politico,33453
738,3.1404255319148935,Absolutely Agrees,https://www.allsides.com/news-source/politicususa,left,235,PoliticusUSA,973
1342,0.6801824632539281,Somewhat Disagrees,https://www.allsides.com/news-source/politifact,left-center,1973,PolitiFact,3315
148,0.6519823788546255,Disagrees,https://www.allsides.com/news-source/portland-press-herarld,center,227,Portland Press Herald,375
574,1.7770897832817338,Agrees,https://www.allsides.com/news-source/pri-public-radio-international,center,323,PRI (Public Radio International),897
2768,1.7256857855361596,Agrees,https://www.allsides.com/news-source/proconorg,allsides,1604,ProCon.org,4372
128,1.9104477611940298,Agrees,https://www.allsides.com/news-source/progressive-voices-iowa,left,67,Progressive Voices of Iowa,195
762,1.6144067796610169,Agrees,https://www.allsides.com/news-source/propublica,center,472,ProPublica,1234
120,0.9917355371900827,Somewhat Disagrees,https://www.allsides.com/news-source/pxw-news,center,121,PXW News,241
423,1.1401617250673854,Somewhat Agrees,https://www.allsides.com/news-source/quartz,center,371,Quartz,794
145,0.5087719298245614,Disagrees,https://www.allsides.com/news-source/quillette-media-bias,right-center,285,Quillette,430
405,0.6490384615384616,Disagrees,https://www.allsides.com/news-source/rasmussen-reports,center,624,Rasmussen Reports,1029
442,1.753968253968254,Agrees,https://www.allsides.com/news-source/raw-story,left,252,Raw Story,694
2499,1.2389687654933068,Somewhat Agrees,https://www.allsides.com/news-source/real-clear-politics,center,2017,RealClearPolitics,4516
4711,1.4758771929824561,Somewhat Agrees,https://www.allsides.com/news-source/reason,right-center,3192,Reason,7903
95,0.8260869565217391,Somewhat Disagrees,https://www.allsides.com/news-source/record-journal,center,115,Record Journal,210
558,3.0828729281767955,Absolutely Agrees,https://www.allsides.com/news-source/red-state,right,181,Red State,739
5813,1.4598191863385233,Somewhat Agrees,https://www.allsides.com/news-source/reuters,center,3982,Reuters,9795
195,1.4028776978417266,Somewhat Agrees,https://www.allsides.com/news-source/richmond-times-dispatch,right-center,139,Richmond Times Dispatch,334
248,1.0205761316872428,Somewhat Agrees,https://www.allsides.com/news-source/right-major-publications,right,243,Right - Major Media Sources,491
382,2.0427807486631018,Strongly Agrees,https://www.allsides.com/news-source/right-side-news,right,187,Right Side News,569
330,2.3741007194244603,Strongly Agrees,https://www.allsides.com/news-source/right-wing-news,right,139,Right Wing News,469
43,1.075,Somewhat Agrees,https://www.allsides.com/news-source/roll-call-media-bias,center,40,Roll Call,83
1259,3.6074498567335245,Absolutely Agrees,https://www.allsides.com/news-source/rolling-stone,left,349,RollingStone.com,1608
10429,2.158319536423841,Strongly Agrees,https://www.allsides.com/news-source/salon,left,4832,Salon,15261
741,2.9404761904761907,Strongly Agrees,https://www.allsides.com/news-source/san-francisco-chronicle,left,252,San Francisco Chronicle,993
292,0.863905325443787,Somewhat Disagrees,https://www.allsides.com/news-source/san-jose-mercury-news,left-center,338,San Jose Mercury News,630
147,1.2782608695652173,Somewhat Agrees,https://www.allsides.com/news-source/saturday-evening-post-media-bias,center,115,Saturday Evening Post,262
377,1.6755555555555555,Agrees,https://www.allsides.com/news-source/science-daily,center,225,Science Daily,602
890,2.1291866028708135,Strongly Agrees,https://www.allsides.com/news-source/scientific-american,center,418,Scientific American,1308
195,0.7303370786516854,Somewhat Disagrees,https://www.allsides.com/news-source/sf-weekly,center,267,SF Weekly,462
359,0.8864197530864197,Somewhat Disagrees,https://www.allsides.com/news-source/sf-gate,left-center,405,SFGate,764
108,1.2,Somewhat Agrees,https://www.allsides.com/news-source/sky-hi-daily-news,left-center,90,Sky-Hi Daily News,198
2555,1.1613636363636364,Somewhat Agrees,https://www.allsides.com/news-source/slate,left,2200,Slate,4755
88,0.7096774193548387,Somewhat Disagrees,https://www.allsides.com/news-source/smerconish-media-bias,center,124,Smerconish,212
354,2.2838709677419353,Strongly Agrees,https://www.allsides.com/news-source/socialist-alternative,left,155,Socialist Alternative,509
303,2.2954545454545454,Strongly Agrees,https://www.allsides.com/news-source/socialist-projectthe-bullet,left,132,Socialist Project/The Bullet,435
111,4.269230769230769,Absolutely Agrees,https://www.allsides.com/news-source/splinter-media-bias,left,26,Splinter,137
156,0.9397590361445783,Somewhat Disagrees,https://www.allsides.com/news-source/spokesman-review,left-center,166,Spokesman Review,322
131,0.7359550561797753,Somewhat Disagrees,https://www.allsides.com/news-source/state-journal,left-center,178,State Journal,309
114,0.8142857142857143,Somewhat Disagrees,https://www.allsides.com/news-source/suspend-belief-podcast,allsides,140,Suspend Belief Podcast,254
190,1.0982658959537572,Somewhat Agrees,https://www.allsides.com/news-source/tallahassee-democrat,center,173,Tallahassee Democrat,363
303,1.6927374301675977,Agrees,https://www.allsides.com/news-source/techcrunch-0,center,179,TechCrunch,482
249,0.7302052785923754,Somewhat Disagrees,https://www.allsides.com/news-source/teen-vogue,left-center,341,Teen Vogue,590
107,0.8991596638655462,Somewhat Disagrees,https://www.allsides.com/news-source/test-source,center,119,Test Source,226
127,0.8355263157894737,Somewhat Disagrees,https://www.allsides.com/news-source/advocate-messenger,left-center,152,The Advocate-Messenger,279
106,0.8548387096774194,Somewhat Disagrees,https://www.allsides.com/news-source/american-conservative-media-bias,right-center,124,The American Conservative,230
3724,1.632617273125822,Agrees,https://www.allsides.com/news-source/atlantic,left-center,2281,The Atlantic,6005
1340,1.279847182425979,Somewhat Agrees,https://www.allsides.com/news-source/boston-globe,left-center,1047,The Boston Globe,2387
115,0.8098591549295775,Somewhat Disagrees,https://www.allsides.com/news-source/cadiz-record,left-center,142,The Cadiz Record,257
135,1.5517241379310345,Agrees,https://www.allsides.com/news-source/canyon-county-zephry,left,87,The Canyon County Zephyr,222
80,1.1594202898550725,Somewhat Agrees,https://www.allsides.com/news-source/college-fix,right,69,The College Fix,149
116,0.7435897435897436,Somewhat Disagrees,https://www.allsides.com/news-source/commercial-appeal,left-center,156,The Commercial Appeal,272
82,0.4685714285714286,Strongly Disagrees,https://www.allsides.com/news-source/courier-journal,left-center,175,The Courier-Journal,257
4016,1.7074829931972788,Agrees,https://www.allsides.com/news-source/daily-caller,right,2352,The Daily Caller,6368
807,0.7685714285714286,Somewhat Disagrees,https://www.allsides.com/news-source/daily-show,left-center,1050,The Daily Show (humor),1857
184,3.5384615384615383,Absolutely Agrees,https://www.allsides.com/news-source/daily-signal,right,52,The Daily Signal,236
1979,2.0070993914807302,Strongly Agrees,https://www.allsides.com/news-source/daily-wire,right,986,The Daily Wire,2965
139,0.9084967320261438,Somewhat Disagrees,https://www.allsides.com/news-source/delaware-county-daily-times,left-center,153,The Delaware County Daily Times,292
1237,0.5053104575163399,Disagrees,https://www.allsides.com/news-source/economist,left-center,2448,The Economist,3685
65,1.9696969696969697,Agrees,https://www.allsides.com/news-source/epoch-times-media-bias,right-center,33,The Epoch Times,98
1879,1.7861216730038023,Agrees,https://www.allsides.com/news-source/federalist,right,1052,The Federalist,2931
141,1.4536082474226804,Somewhat Agrees,https://www.allsides.com/news-source/flip-side-media-bias,allsides,97,The Flip Side,238
418,1.4217687074829932,Somewhat Agrees,https://www.allsides.com/news-source/gateway-pundit,right,294,The Gateway Pundit,712
5455,1.6034685479129924,Agrees,https://www.allsides.com/news-source/guardian,left-center,3402,The Guardian,8857
6506,0.8076970825574178,Somewhat Disagrees,https://www.allsides.com/news-source/hill-media-bias,center,8055,The Hill,14561
39,1.1142857142857143,Somewhat Agrees,https://www.allsides.com/news-source/independent-0,left-center,35,The Independent,74
863,1.5605786618444846,Agrees,https://www.allsides.com/news-source/intercept,left,553,The Intercept,1416
80,0.963855421686747,Somewhat Disagrees,https://www.allsides.com/news-source/jerusalem-post-media-bias,center,83,The Jerusalem Post,163
97,0.8738738738738738,Somewhat Disagrees,https://www.allsides.com/news-source/justice,left-center,111,The Justice,208
128,1.8028169014084507,Agrees,https://www.allsides.com/news-source/korea-herald,center,71,The Korea Herald,199
719,1.1983333333333333,Somewhat Agrees,https://www.allsides.com/news-source/libertarian-republic,right-center,600,The Libertarian Republic,1319
841,3.1856060606060606,Absolutely Agrees,https://www.allsides.com/news-source/nation,left,264,The Nation,1105
1689,2.9070567986230635,Strongly Agrees,https://www.allsides.com/news-source/new-yorker,left,581,The New Yorker,2270
150,0.4934210526315789,Strongly Disagrees,https://www.allsides.com/news-source/observer,center,304,The Observer (New York),454
43,0.5119047619047619,Disagrees,https://www.allsides.com/news-source/oracle,center,84,The Oracle,127
43,0.6615384615384615,Disagrees,https://www.allsides.com/news-source/phillycom,left-center,65,The Philadelphia Inquirer,108
99,1.4142857142857144,Somewhat Agrees,https://www.allsides.com/news-source/red-and-black,center,70,The Red and Black,169
54,0.5684210526315789,Disagrees,https://www.allsides.com/news-source/reliable-bias,center,95,The Reliable Bias,149
131,0.39457831325301207,Strongly Disagrees,https://www.allsides.com/news-source/republican,center,332,The Republican,463
12,1.5,Somewhat Agrees,https://www.allsides.com/news-source/resurgent-media-bias,right,8,The Resurgent,20
184,0.7796610169491526,Somewhat Disagrees,https://www.allsides.com/news-source/root,left-center,236,The Root,420
212,0.9724770642201835,Somewhat Disagrees,https://www.allsides.com/news-source/sacramento-bee,left-center,218,The Sacramento Bee,430
102,1.6721311475409837,Agrees,https://www.allsides.com/news-source/saturday-evening-post,center,61,The Saturday Evening Post,163
500,1.7006802721088434,Agrees,https://www.allsides.com/news-source/telegraph-uk,right-center,294,The Telegraph - UK,794
372,1.5245901639344261,Agrees,https://www.allsides.com/news-source/verge,left-center,244,The Verge,616
2813,1.351104707012488,Somewhat Agrees,https://www.allsides.com/news-source/the-week-bias,center,2082,The Week,4895
